index,split,class,label,file,relative_path,image_sha256,run,seed,support_id,query_id,sequence_group
0,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191513.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191513.jpg.jpg,52f56a7d47cec74bb7feba284e87948b2e1cfd3b863147d9c77bb170d9b6d1b8,5,624,,,
1,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_185421.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_185421.jpg.jpg,acec6f44c7441113a6d77a7c4a2f256dd453b4f1e842e7e37eaf28b03f23d395,5,624,,,
2,support,Healthy Leaf,0,Healthy Leaf_20241104_192021.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_192021.jpg.jpg,da6c8db14dad234c8d0c02d2f248b717384cd3757640095bc65f6d8f5a74cae8,5,624,,,
3,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_185929.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_185929.jpg.jpg,e74602ca876d1eea5d9253fc0ca227a623a52928c1601648e25327f8eee0a52a,5,624,,,
4,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191119.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191119.jpg.jpg,3cd5efd43927ab9b553fc33deac54551601af4c1c77ab6388dda8d88c5a218af,5,624,,,
5,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_183735.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_183735.jpg.jpg,18109eacc4e91275281d2ac627cfdc02ad8f0ed689a4fd05b60bc3b490e84867,5,624,,,
6,support,Healthy Leaf,0,Healthy Leaf_20241104_183548.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_183548.jpg.jpg,563496e5364b97e3a2112af00e4cfb27828b72f3534a30215273de2ee2daf12f,5,624,,,
7,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191226.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191226.jpg.jpg,ad85e2d25c942324fbe0a8f74782796d619a89640a12cd6febb98d86a74e7a40,5,624,,,
8,support,Healthy Leaf,0,Healthy Leaf_IMG_20241104_191943.jpg.jpg,Healthy Leaf/Healthy Leaf_IMG_20241104_191943.jpg.jpg,258e64d5ed1a3252a4711d20f66bde65d210216a961f50b0c0d13f7310290fb2,5,624,,,
9,support,Healthy Leaf,0,Healthy Leaf_20241104_183636.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_183636.jpg.jpg,077f084eb11e25c026ddacb67f443df24df1ad6a8dba3002e04c30aa00463199,5,624,,,
10,support,Powdery Mildew,1,White Spot_IMG_20241108_183659.jpg.jpg,Powdery Mildew/White Spot_IMG_20241108_183659.jpg.jpg,c067363cd124e6e03d4e924993490f8748c019fbbb9ea90ad33ffe40ff869bf2,5,624,,,
11,support,Powdery Mildew,1,White Spot_20241104_012014.jpg.jpg,Powdery Mildew/White Spot_20241104_012014.jpg.jpg,774816297731930612a9ab0b1a555a240d815b10242aa33cfe6bb5a48d359e00,5,624,,,
