index,split,class,label,file,relative_path,image_sha256
0,universe,Healthy Leaf,0,Healthy Leaf_20241104_182044.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182044.jpg.jpg,f195d52a65c9ceddce71d3ef6d61095480e9d5a8ececd46b3241348ea36265d4
1,universe,Healthy Leaf,0,Healthy Leaf_20241104_182047.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182047.jpg.jpg,90f90c92e640345730c0bc22c2ae5ef8c34656cf1302dfb3e3972e51f31a5a69
2,universe,Healthy Leaf,0,Healthy Leaf_20241104_182050.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182050.jpg.jpg,24d02290740200b74592988d50a73d75f8bb5408a3110c5d64345b9446719186
3,universe,Healthy Leaf,0,Healthy Leaf_20241104_182053.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182053.jpg.jpg,fc9aaac20f2ffbc5c59ba4c34d89b157eae58a707c32f49586acb8ef2c21353a
4,universe,Healthy Leaf,0,Healthy Leaf_20241104_182107.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182107.jpg.jpg,ada3286ac5b64c63b0a60d0d04818ad7926560e813a4800ba676566132d7ed06
5,universe,Healthy Leaf,0,Healthy Leaf_20241104_182110.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182110.jpg.jpg,a288c14cf3974d06d7fba2617de3d1e2508dd289e572cb08cca8769a0357088c
6,universe,Healthy Leaf,0,Healthy Leaf_20241104_182113.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182113.jpg.jpg,9d3fef8a026254263df6aaa9b112da2cd0edaa21dcfb8a70a263608b651f2953
7,universe,Healthy Leaf,0,Healthy Leaf_20241104_182131.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182131.jpg.jpg,a9b3a546e83eff11ab77661b24f8a981a49ba9a1e31d8be0167f4986a7872f04
8,universe,Healthy Leaf,0,Healthy Leaf_20241104_182134.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182134.jpg.jpg,2e73002ddf10988ae370501b8e01c2189466edbd29831ddfc10ab18543de1644
9,universe,Healthy Leaf,0,Healthy Leaf_20241104_182138.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182138.jpg.jpg,9316fb556d958ff6834b3da648b2f70d393f1a93b4594b183ea275c696705841
10,universe,Healthy Leaf,0,Healthy Leaf_20241104_182142.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182142.jpg.jpg,bb175781e67385aca3b8a903868409dfdec855b7435e61eedf21d038867e5100
11,universe,Healthy Leaf,0,Healthy Leaf_20241104_182152.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182152.jpg.jpg,b027ccf648ae9b24c9b936060b395a123adeedeed23f38bb83cc5fd5c42ddc6c
12,universe,Healthy Leaf,0,Healthy Leaf_20241104_182155.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182155.jpg.jpg,6fea227d54af9305e4d2019ffa5936e9199df443af771df6a554db326cd57c02
13,universe,Healthy Leaf,0,Healthy Leaf_20241104_182201.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182201.jpg.jpg,d4065f12ea74284dd5a55647e5e9a296abd5412cc50494da11d3f6af9a3ca21d
14,universe,Healthy Leaf,0,Healthy Leaf_20241104_182221.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182221.jpg.jpg,a0c6060487b5566846314ba6229150a09ec2183c8e4a87e6c2b83acbb4b5e0d9
15,universe,Healthy Leaf,0,Healthy Leaf_20241104_182223.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182223.jpg.jpg,382c80add91fdc7cdf499ec7bba463fb3846658bab577b2f4608677710ad179c
16,universe,Healthy Leaf,0,Healthy Leaf_20241104_182226.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182226.jpg.jpg,593880506eeac2ff8d6bcf03568456531e628aea3cf25d0264f191a63a67c362
17,universe,Healthy Leaf,0,Healthy Leaf_20241104_182230.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182230.jpg.jpg,5e85a3e04f119076c6dc282722b82b5bca18f35308c6a8fbb9f73808faa5df82
18,universe,Healthy Leaf,0,Healthy Leaf_20241104_182240.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182240.jpg.jpg,c8d933cddd2ceeae81da6d5971520b003f0fba082dcba63933ad76ac67c61a29
19,universe,Healthy Leaf,0,Healthy Leaf_20241104_182243.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182243.jpg.jpg,c990ffbcc9f6a4edeea6c57dc26ea224c0c7591c743b964854ba035de24c89ed
20,universe,Healthy Leaf,0,Healthy Leaf_20241104_182253.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182253.jpg.jpg,628a2a15f43c19ad16b76c863ef52b30dc7e3329116bdf8d5299f892ffa93a4e
21,universe,Healthy Leaf,0,Healthy Leaf_20241104_182305.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182305.jpg.jpg,d49ab07f10bb79a48fa0a431fce69a16a0cd01940474b5976ad60630620492d9
22,universe,Healthy Leaf,0,Healthy Leaf_20241104_182308.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182308.jpg.jpg,7d36f8e4dc738f0f26167f507dcb2087f29b74423f727ac205a37e930fafb8bc
23,universe,Healthy Leaf,0,Healthy Leaf_20241104_182311.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182311.jpg.jpg,df9a0b20e3fb58a691fe9af1f1c6c4090d58510075284ea1a16a792772969c14
24,universe,Healthy Leaf,0,Healthy Leaf_20241104_182314.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182314.jpg.jpg,354c25a22d9d29a7f7306565e60b28c440ae681d7bfca33eafe5f943a6bc1d4f
25,universe,Healthy Leaf,0,Healthy Leaf_20241104_182349.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182349.jpg.jpg,33dca1d3f5f7793d3924d95f896b544ae01365c8d814a03911dc0c5616e18899
26,universe,Healthy Leaf,0,Healthy Leaf_20241104_182352.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182352.jpg.jpg,80f9b81a438022da07577e73699ebd20eb0f22d734b1fae870565de82d71a4c5
27,universe,Healthy Leaf,0,Healthy Leaf_20241104_182354.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182354.jpg.jpg,b549dcb9c7dca423001782c99e9b79da481ba0d2904be8acab5eb046c4decdb1
28,universe,Healthy Leaf,0,Healthy Leaf_20241104_182357.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182357.jpg.jpg,ba87bb850f55d27ebf6f2983ae33e230116d85ba755b04f5ee75c188c5778ea6
29,universe,Healthy Leaf,0,Healthy Leaf_20241104_182422.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182422.jpg.jpg,e87c40461d8c8ae45ac64c2729dc411eeb5273465bf1799695b165122fb876de
30,universe,Healthy Leaf,0,Healthy Leaf_20241104_182424.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182424.jpg.jpg,23eaa2b467308e9360edf64c250b78464b7e38e1fd23f68cf5a3e0a6b430ea2f
31,universe,Healthy Leaf,0,Healthy Leaf_20241104_182427.jpg.jpg,Healthy Leaf/Healthy Leaf_20241104_182427.jpg.jpg,ec02c298db0bf2ff49bcc0df76ee455474f48aa9112d992477da749790f9f4d6
